sample_id,center_id,dna_sample_id,path_r1,path_r2
S2_14_2,S2,14_2,data/s2/reads/raw/F01_S18_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/F01_S18_CIDNS200509-022_R2_001.fastq.gz
S2_14_3,S2,14_3,data/s2/reads/raw/D07_S25_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/D07_S25_CIDNS200518-023_R2_001.fastq.gz
S2_14_4,S2,14_4,data/s2/reads/raw/E07_S26_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/E07_S26_CIDNS200518-023_R2_001.fastq.gz
S2_15_1,S2,15_1,data/s2/reads/raw/A08_S30_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/A08_S30_CIDNS200518-023_R2_001.fastq.gz
S2_15_2,S2,15_2,data/s2/reads/raw/A10_S1_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/A10_S1_CIDNXS20200524-025_R2_001.fastq.gz
S2_15_3,S2,15_3,data/s2/reads/raw/C12_S18_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/C12_S18_CIDNXS20200524-025_R2_001.fastq.gz
S2_15_4,S2,15_4,data/s2/reads/raw/G08_S36_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/G08_S36_CIDNS200518-023_R2_001.fastq.gz
S2_16_1,S2,16_1,data/s2/reads/raw/F02_S26_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/F02_S26_CIDNS200509-022_R2_001.fastq.gz
S2_16_2,S2,16_2,data/s2/reads/raw/E09_S42_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/E09_S42_CIDNS200518-023_R2_001.fastq.gz
S2_16_3,S2,16_3,data/s2/reads/raw/C02_S23_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/C02_S23_CIDNS200509-022_R2_001.fastq.gz
S2_16_4,S2,16_4,data/s2/reads/raw/D02_S46_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/D02_S46_CIDNS200518-023_R2_001.fastq.gz
S2_17_1,S2,17_1,data/s2/reads/raw/F08_S35_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/F08_S35_CIDNS200518-023_R2_001.fastq.gz
S2_17_2,S2,17_2,data/s2/reads/raw/B05_S46_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/B05_S46_CIDNS200509-022_R2_001.fastq.gz
S2_17_3,S2,17_3,data/s2/reads/raw/A04_S37_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/A04_S37_CIDNS200509-022_R2_001.fastq.gz
S2_17_4,S2,17_4,data/s2/reads/raw/F11_S14_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/F11_S14_CIDNXS20200524-025_R2_001.fastq.gz
S2_18_1,S2,18_1,data/s2/reads/raw/D12_S19_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/D12_S19_CIDNXS20200524-025_R2_001.fastq.gz
S2_18_2,S2,18_2,data/s2/reads/raw/H02_S28_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/H02_S28_CIDNS200509-022_R2_001.fastq.gz
S2_18_3,S2,18_3,data/s2/reads/raw/C08_S32_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/C08_S32_CIDNS200518-023_R2_001.fastq.gz
S2_18_4,S2,18_4,data/s2/reads/raw/B12_S17_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/B12_S17_CIDNXS20200524-025_R2_001.fastq.gz
S2_19_1,S2,19_1,data/s2/reads/raw/C01_S15_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/C01_S15_CIDNS200509-022_R2_001.fastq.gz
S2_19_2,S2,19_2,data/s2/reads/raw/E06_S18_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/E06_S18_CIDNS200518-023_R2_001.fastq.gz
S2_19_3,S2,19_3,data/s2/reads/raw/D09_S41_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/D09_S41_CIDNS200518-023_R2_001.fastq.gz
S2_19_4,S2,19_4,data/s2/reads/raw/D06_S17_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/D06_S17_CIDNS200518-023_R2_001.fastq.gz
S2_20_1,S2,20_1,data/s2/reads/raw/C05_S47_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/C05_S47_CIDNS200509-022_R2_001.fastq.gz
