center_id,dna_sample_id,file,path,read
S1,12_2,12_2.fastq.gz,data/s1/reads/raw/12_2.fastq.gz,NA
S1,13_1,13_1.fastq.gz,data/s1/reads/raw/13_1.fastq.gz,NA
S1,13_2,13_2.fastq.gz,data/s1/reads/raw/13_2.fastq.gz,NA
S1,14_1,14_1.fastq.gz,data/s1/reads/raw/14_1.fastq.gz,NA
S1,14_2,14_2.fastq.gz,data/s1/reads/raw/14_2.fastq.gz,NA
S1,14_3,14_3.fastq.gz,data/s1/reads/raw/14_3.fastq.gz,NA
S1,14_4,14_4.fastq.gz,data/s1/reads/raw/14_4.fastq.gz,NA
S1,15_1,15_1.fastq.gz,data/s1/reads/raw/15_1.fastq.gz,NA
S1,15_2,15_2.fastq.gz,data/s1/reads/raw/15_2.fastq.gz,NA
S1,15_3,15_3.fastq.gz,data/s1/reads/raw/15_3.fastq.gz,NA
S1,15_4,15_4.fastq.gz,data/s1/reads/raw/15_4.fastq.gz,NA
S1,16_1,16_1.fastq.gz,data/s1/reads/raw/16_1.fastq.gz,NA
S1,16_2,16_2.fastq.gz,data/s1/reads/raw/16_2.fastq.gz,NA
S1,16_3,16_3.fastq.gz,data/s1/reads/raw/16_3.fastq.gz,NA
S1,16_4,16_4.fastq.gz,data/s1/reads/raw/16_4.fastq.gz,NA
S1,17_1,17_1.fastq.gz,data/s1/reads/raw/17_1.fastq.gz,NA
S1,17_2,17_2.fastq.gz,data/s1/reads/raw/17_2.fastq.gz,NA
S1,17_3,17_3.fastq.gz,data/s1/reads/raw/17_3.fastq.gz,NA
S1,17_4,17_4.fastq.gz,data/s1/reads/raw/17_4.fastq.gz,NA
S1,18_1,18_1.fastq.gz,data/s1/reads/raw/18_1.fastq.gz,NA
S1,18_2,18_2.fastq.gz,data/s1/reads/raw/18_2.fastq.gz,NA
S1,18_3,18_3.fastq.gz,data/s1/reads/raw/18_3.fastq.gz,NA
S1,18_4,18_4.fastq.gz,data/s1/reads/raw/18_4.fastq.gz,NA
